Asset,Strategy,Fill Rate (%),Avg Slippage (bps),Price Improvement (%),Avg Fill Time (s),Num Fills
BTC,Model,72.0,-0.9860723584621094,83.88888888888889,0.9546917743988751,720
BTC,Aggressive,87.2,1.0309056345728116,16.28440366972477,0.483942859956606,872
BTC,Moderate,72.1,-1.0074086489384189,85.29819694868237,1.0369595743555198,721
BTC,Conservative,50.4,-1.988484438350755,97.81746031746032,2.0396915538294893,504
BTC,Passive,32.9,-3.0210146675063543,100.0,3.302604185532511,329
ETH,Model,72.1,-0.9991229193862949,82.94036061026353,1.1839921715538386,721
ETH,Aggressive,88.9,1.037136526735086,14.735658042744657,0.5060557044932595,889
ETH,Moderate,70.6,-1.0178128627266183,84.70254957507082,0.9274286566075373,706
ETH,Conservative,54.400000000000006,-2.0540912939629132,98.52941176470588,2.089753870656231,544
ETH,Passive,29.5,-3.121793827937564,99.66101694915255,2.778031960863932,295
